previous_quantile,n,previous_mean,next_mean,next_median,target_q_now,source,model_tag
3,1025,3.5437694895852054,5.68674814580923,5.03124535681116,5,Unfitted-GRW,unfitted_grw
4,1025,4.020561665156788,5.677976778911041,4.989787699186674,5,Unfitted-GRW,unfitted_grw
5,1025,4.5190307923242345,5.645886994744968,4.979490213148428,5,Unfitted-GRW,unfitted_grw
6,1025,5.07233717775678,5.697105686347531,4.995367620452345,5,Unfitted-GRW,unfitted_grw
7,1025,5.71512104294742,5.682012592918198,5.0699149265635075,5,Unfitted-GRW,unfitted_grw
8,1025,6.554337257748655,5.840994579551363,5.132321509048748,5,Unfitted-GRW,unfitted_grw
9,1025,7.774168938808884,5.798450481961638,5.015352444915964,5,Unfitted-GRW,unfitted_grw
10,1026,10.967287037524674,5.921998288652854,5.185731712311492,5,Unfitted-GRW,unfitted_grw
1,555,0.5962705453625882,8.553110136435077,4.9865414802175,5,GRW-Y,grw_y
2,554,1.4927172499383214,7.73691977512839,5.054710502622214,5,GRW-Y,grw_y
3,555,2.2535111269029358,7.854429099566736,4.884118580507694,5,GRW-Y,grw_y
4,554,3.0505319111394953,7.855303610979194,4.638648832808507,5,GRW-Y,grw_y
5,555,3.959817609551825,7.689145639522379,4.937780175380015,5,GRW-Y,grw_y
6,554,5.0980436407457175,8.208930759752413,5.228819351651915,5,GRW-Y,grw_y
7,554,6.597024139712281,7.6079304975766044,5.161687319780542,5,GRW-Y,grw_y
8,555,8.674385840206561,7.948982672706761,4.869271558018675,5,GRW-Y,grw_y
9,554,12.400289904020253,8.278330639802077,5.509576925599756,5,GRW-Y,grw_y
10,555,26.788880544712466,8.256682693315646,4.996861752010663,5,GRW-Y,grw_y
1,485,0.6600533576544305,7.468641748164846,4.819606246362422,5,GRW-G,grw_global
2,484,1.5563045744779564,7.269726423840145,4.736050730437988,5,GRW-G,grw_global
3,484,2.384518342120878,7.556290309380087,4.4082431379612625,5,GRW-G,grw_global
4,484,3.2424523609362503,8.959776240859954,4.900064789748585,5,GRW-G,grw_global
5,484,4.216844814817905,7.551390562155983,4.732619743422335,5,GRW-G,grw_global
6,484,5.417921380648884,8.695426794767062,5.180924587904227,5,GRW-G,grw_global
7,484,6.877698141058517,8.36154367247038,5.514370387296877,5,GRW-G,grw_global
8,484,9.030093036863981,7.965734221899857,5.024974689180157,5,GRW-G,grw_global
9,484,12.715530758543352,8.602243558489118,5.270285212379273,5,GRW-G,grw_global
10,485,26.263625391542348,7.920834855504988,5.05556403542246,5,GRW-G,grw_global
1,1266,0.6720419334718178,6.453984520298026,4.579059427786058,5,AR(1)-GRW-Y,ar1_y
2,1265,1.5648254722433885,6.8162159379116645,4.509315262995747,5,AR(1)-GRW-Y,ar1_y
3,1265,2.3447586288971776,6.675229709716742,4.6088241592645325,5,AR(1)-GRW-Y,ar1_y
4,1266,3.15278680269538,6.937917494542073,4.562860165132252,5,AR(1)-GRW-Y,ar1_y
5,1265,4.062761110894705,6.928128905494885,4.711946759489955,5,AR(1)-GRW-Y,ar1_y
6,1265,5.197238011438199,6.684717536778005,4.5287151216200145,5,AR(1)-GRW-Y,ar1_y
7,1266,6.62386500128692,6.7160526389825215,4.628808991597772,5,AR(1)-GRW-Y,ar1_y
8,1265,8.659350123725746,6.827925897697097,4.521177450380588,5,AR(1)-GRW-Y,ar1_y
9,1265,11.966660070884652,6.947009754104286,4.591556053500712,5,AR(1)-GRW-Y,ar1_y
10,1266,23.51352458091574,6.961826827593899,4.628951762932333,5,AR(1)-GRW-Y,ar1_y
1,1274,0.7401098530617768,6.998302957175487,4.6219261983412,5,AR(1)-GRW-S,ar1_s
2,1273,1.6633384740383033,7.040199897134619,4.930997099422112,5,AR(1)-GRW-S,ar1_s
3,1274,2.440036498256378,7.082985241183074,5.065927182779325,5,AR(1)-GRW-S,ar1_s
