starting_decile,n,median_signed,median_absolute,signed_q10,signed_q90,absolute_q10,absolute_q90,source,model_tag,reference_year,target_year
9,1000,-0.29935,0.29935,-0.72452,0.07419999999999997,0.047890000000000044,0.72452,AR(1)-GRW-S,ar1_s,1,4
10,1000,-0.36879999999999996,0.36879999999999996,-0.79156,-0.022299999999999917,0.04816999999999991,0.79156,AR(1)-GRW-S,ar1_s,1,4
1,1000,0.2527,0.2527,0.0017200000000000073,0.71269,0.026505000000000004,0.71269,AR(1)-GRW-S,ar1_s,5,7
2,1000,0.21494999999999997,0.21494999999999997,-0.09430999999999999,0.6505799999999999,0.03760000000000002,0.6505799999999999,AR(1)-GRW-S,ar1_s,5,7
3,1000,0.15460000000000002,0.211175,-0.18012999999999998,0.59413,0.039680000000000014,0.59413,AR(1)-GRW-S,ar1_s,5,7
4,1000,0.10264999999999999,0.22560000000000002,-0.25314,0.50279,0.047039999999999985,0.50279,AR(1)-GRW-S,ar1_s,5,7
5,1000,0.03805000000000003,0.22329999999999997,-0.33619999999999994,0.42401,0.04115999999999997,0.43989000000000006,AR(1)-GRW-S,ar1_s,5,7
6,1000,-0.007599999999999996,0.23750000000000002,-0.42123,0.36365000000000003,0.046809999999999956,0.44304,AR(1)-GRW-S,ar1_s,5,7
7,1000,-0.07640000000000002,0.23839999999999997,-0.5103,0.26685000000000003,0.04439999999999999,0.5103000000000001,AR(1)-GRW-S,ar1_s,5,7
8,1000,-0.16005000000000008,0.19980000000000003,-0.59993,0.17060999999999998,0.04204000000000002,0.59993,AR(1)-GRW-S,ar1_s,5,7
9,1000,-0.24125000000000002,0.24125000000000002,-0.6788099999999999,0.07821999999999996,0.037569999999999965,0.67881,AR(1)-GRW-S,ar1_s,5,7
10,1000,-0.25665,0.25665,-0.70167,0.0053199999999999845,0.022490000000000065,0.70167,AR(1)-GRW-S,ar1_s,5,7
1,1000,0.45499999999999996,0.45499999999999996,0.05108000000000001,0.85485,0.05885,0.85485,AR(1)-GRW-S,ar1_s,8,20
2,1000,0.3449,0.3449,-0.04455,0.7508100000000001,0.04959,0.7508100000000001,AR(1)-GRW-S,ar1_s,8,20
3,1000,0.26965000000000006,0.27337500000000003,-0.13416000000000003,0.64217,0.05418,0.64217,AR(1)-GRW-S,ar1_s,8,20
4,1000,0.12664999999999998,0.23120000000000002,-0.25284,0.5398600000000001,0.048750000000000016,0.5398600000000001,AR(1)-GRW-S,ar1_s,8,20
5,1000,0.05120000000000002,0.2614,-0.35263,0.44893000000000005,0.060790000000000025,0.45414,AR(1)-GRW-S,ar1_s,8,20
6,1000,-0.05569999999999997,0.26055,-0.45860999999999996,0.35828,0.04808000000000003,0.46403999999999995,AR(1)-GRW-S,ar1_s,8,20
7,1000,-0.16279999999999994,0.24885000000000002,-0.54845,0.24655000000000002,0.06323999999999992,0.5484500000000001,AR(1)-GRW-S,ar1_s,8,20
8,1000,-0.25655,0.261,-0.64881,0.13495000000000007,0.05535,0.64881,AR(1)-GRW-S,ar1_s,8,20
9,1000,-0.32730000000000004,0.32730000000000004,-0.72798,0.04953000000000013,0.05172999999999996,0.72798,AR(1)-GRW-S,ar1_s,8,20
10,1000,-0.4405,0.4405,-0.85635,-0.048779999999999955,0.06055999999999998,0.85635,AR(1)-GRW-S,ar1_s,8,20
