source,source_type,model_tag,window,corr,n,log_mean,log_sd
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Stage 1-4,0.965816572197318,49735,4.251722917890503,1.357096837405427
Data (CS),empirical,hurdle_ar1_s_p,Stage 5-7,0.9911160956823608,500,4.197021893047015,1.1159804871625059
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Stage 5-7,0.9660587729374808,49477,3.966993650067512,1.376114415549614
Data (CS),empirical,hurdle_ar1_s_p,Stage 8-20,0.9909949189535822,509,6.158665439170955,1.1805459475314493
Hurdle-AR(1)-GRW-S-P,simulated,hurdle_ar1_s_p,Stage 8-20,0.9913735765526802,49998,6.095874982722402,0.9371457955090795
Data (CS),empirical,hurdle_ar3_s_p,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Last four observed / 17-20,0.9777482566071699,49245,3.950910860925818,1.6010611925209823
Data (CS),empirical,hurdle_ar3_s_p,"Full career, 0-20",0.9959445310568338,510,6.927062953561247,1.0148331193805715
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,"Full career, 0-20",0.9990723295723135,50000,6.785319488359804,0.914651765411147
Data (CS),empirical,hurdle_ar3_s_p,Stage 0,0.9781894421005022,363,2.4195359441785187,0.8730148794719607
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Stage 0,0.9701412450122281,40826,1.6308041206887167,1.8679730626302709
Data (CS),empirical,hurdle_ar3_s_p,Stage 1-4,0.9879959626348181,497,4.521394424345055,1.124840438107774
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Stage 1-4,0.9753051584202752,49717,4.148912277751287,1.429887680402035
Data (CS),empirical,hurdle_ar3_s_p,Stage 5-7,0.9911160956823608,500,4.197021893047015,1.1159804871625059
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Stage 5-7,0.9722645446836622,49475,3.88709010068859,1.4336070154932121
Data (CS),empirical,hurdle_ar3_s_p,Stage 8-20,0.9909949189535822,509,6.158665439170955,1.1805459475314493
Hurdle-AR(3)-GRW-S-P,simulated,hurdle_ar3_s_p,Stage 8-20,0.9970418431048997,50000,5.9576190303188445,1.114912817544765
