year,n,intercept,beta,sigma_resid,var_resid,implied_stationary_mean_log,implied_stationary_var_log,mean_resid,sd_resid,persistence,model_tag,model,stage,transition_year_start,transition_year_end,spectral_radius,is_stationary,beta_1,beta_2,beta_3
11,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
12,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
13,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
14,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
15,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
16,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
17,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
18,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
19,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.4139506891852229,1.6877838147525632,0.6910284767269146,,,0.6332174627423998,hurdle_ar1_s_p,Hurdle-AR(1)-GRW-S-P,8-20,8.0,19.0,0.6332174627423998,True,,,
0,0,,,,,,,,,,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,0,0.0,0.0,,False,,,
1,4181,0.5870200011354133,,0.5747697719666096,0.3303602907665484,2.1955157763183344,0.5443095881452243,,,0.8331705275401977,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,1-4,1.0,4.0,0.8331705275401977,True,0.3547089309001022,0.2744337171452973,0.1034850982603962
2,4181,0.5870200011354133,,0.5747697719666096,0.3303602907665484,2.1955157763183344,0.5443095881452243,,,0.8331705275401977,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,1-4,1.0,4.0,0.8331705275401977,True,0.3547089309001022,0.2744337171452973,0.1034850982603962
3,4181,0.5870200011354133,,0.5747697719666096,0.3303602907665484,2.1955157763183344,0.5443095881452243,,,0.8331705275401977,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,1-4,1.0,4.0,0.8331705275401977,True,0.3547089309001022,0.2744337171452973,0.1034850982603962
4,4181,0.5870200011354133,,0.5747697719666096,0.3303602907665484,2.1955157763183344,0.5443095881452243,,,0.8331705275401977,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,1-4,1.0,4.0,0.8331705275401977,True,0.3547089309001022,0.2744337171452973,0.1034850982603962
5,3880,0.318208817361692,,0.5806993562646541,0.3372117423661836,1.5138702863967106,0.6317607201155067,,,0.8784762987308975,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,5-7,5.0,7.0,0.8784762987308975,True,0.3460910992026347,0.2704057542027016,0.1733075834601976
6,3880,0.318208817361692,,0.5806993562646541,0.3372117423661836,1.5138702863967106,0.6317607201155067,,,0.8784762987308975,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,5-7,5.0,7.0,0.8784762987308975,True,0.3460910992026347,0.2704057542027016,0.1733075834601976
7,3880,0.318208817361692,,0.5806993562646541,0.3372117423661836,1.5138702863967106,0.6317607201155067,,,0.8784762987308975,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,5-7,5.0,7.0,0.8784762987308975,True,0.3460910992026347,0.2704057542027016,0.1733075834601976
8,8445,0.2691562205326883,,0.587905452214792,0.3456328207438789,1.5310899135354226,0.7324092151772278,,,0.8996746414805292,hurdle_ar3_s_p,Hurdle-AR(3)-GRW-S-P,8-20,8.0,19.0,0.8996746414805292,True,0.3500748243664803,0.2918231944588195,0.1823081116225308
