source,model_tag,reference_year,target_year,starting_decile,ending_decile,probability
Empirical,empirical,0,20,8,3,0.10909090909090909
Empirical,empirical,0,20,8,4,0.12727272727272726
Empirical,empirical,0,20,8,5,0.07272727272727272
Empirical,empirical,0,20,8,6,0.07272727272727272
Empirical,empirical,0,20,8,7,0.05454545454545454
Empirical,empirical,0,20,8,8,0.10909090909090909
Empirical,empirical,0,20,8,9,0.09090909090909091
Empirical,empirical,0,20,8,10,0.10909090909090909
Empirical,empirical,0,20,9,1,0.13725490196078433
Empirical,empirical,0,20,9,2,0.0196078431372549
Empirical,empirical,0,20,9,3,0.0196078431372549
Empirical,empirical,0,20,9,4,0.0196078431372549
Empirical,empirical,0,20,9,5,0.1568627450980392
Empirical,empirical,0,20,9,6,0.09803921568627451
Empirical,empirical,0,20,9,7,0.09803921568627451
Empirical,empirical,0,20,9,8,0.17647058823529413
Empirical,empirical,0,20,9,9,0.17647058823529413
Empirical,empirical,0,20,9,10,0.09803921568627451
Empirical,empirical,0,20,10,1,0.0784313725490196
Empirical,empirical,0,20,10,2,0.0196078431372549
Empirical,empirical,0,20,10,3,0.09803921568627451
Empirical,empirical,0,20,10,4,0.0392156862745098
Empirical,empirical,0,20,10,5,0.0196078431372549
Empirical,empirical,0,20,10,6,0.09803921568627451
Empirical,empirical,0,20,10,7,0.19607843137254902
Empirical,empirical,0,20,10,8,0.11764705882352941
Empirical,empirical,0,20,10,9,0.13725490196078433
Empirical,empirical,0,20,10,10,0.19607843137254902
AR(1)-GRW-S,ar1_s,0,20,1,1,0.084
AR(1)-GRW-S,ar1_s,0,20,1,2,0.104
AR(1)-GRW-S,ar1_s,0,20,1,3,0.104
AR(1)-GRW-S,ar1_s,0,20,1,4,0.071
AR(1)-GRW-S,ar1_s,0,20,1,5,0.111
AR(1)-GRW-S,ar1_s,0,20,1,6,0.116
AR(1)-GRW-S,ar1_s,0,20,1,7,0.103
AR(1)-GRW-S,ar1_s,0,20,1,8,0.105
AR(1)-GRW-S,ar1_s,0,20,1,9,0.105
AR(1)-GRW-S,ar1_s,0,20,1,10,0.097
AR(1)-GRW-S,ar1_s,0,20,2,1,0.092
AR(1)-GRW-S,ar1_s,0,20,2,2,0.103
AR(1)-GRW-S,ar1_s,0,20,2,3,0.104
AR(1)-GRW-S,ar1_s,0,20,2,4,0.098
AR(1)-GRW-S,ar1_s,0,20,2,5,0.104
AR(1)-GRW-S,ar1_s,0,20,2,6,0.104
AR(1)-GRW-S,ar1_s,0,20,2,7,0.098
AR(1)-GRW-S,ar1_s,0,20,2,8,0.095
AR(1)-GRW-S,ar1_s,0,20,2,9,0.098
AR(1)-GRW-S,ar1_s,0,20,2,10,0.104
AR(1)-GRW-S,ar1_s,0,20,3,1,0.106
AR(1)-GRW-S,ar1_s,0,20,3,2,0.094
