source,model_tag,trajectory_index,year,productivity
ARW4,arw4,774,16,20.459581974289147
ARW4,arw4,774,17,15.30964871000775
ARW4,arw4,774,18,11.74676315409728
ARW4,arw4,774,19,9.50933469401175
ARW4,arw4,774,20,4.718793654697223
ARW4,arw4,4738,0,1.5564578275070393
ARW4,arw4,4738,1,8.092039468309427
ARW4,arw4,4738,2,7.331995325614377
ARW4,arw4,4738,3,0.7429093146652139
ARW4,arw4,4738,4,1.4495962853414819
ARW4,arw4,4738,5,0.20774258105613808
ARW4,arw4,4738,6,4.589211514847746
ARW4,arw4,4738,7,10.311790290498765
ARW4,arw4,4738,8,12.145591068906601
ARW4,arw4,4738,9,9.670695084567956
ARW4,arw4,4738,10,6.391947518993164
ARW4,arw4,4738,11,11.2306327160647
ARW4,arw4,4738,12,7.280976567376324
ARW4,arw4,4738,13,11.391954834078184
ARW4,arw4,4738,14,12.29240871906201
ARW4,arw4,4738,15,6.057439196601208
ARW4,arw4,4738,16,1.3261778887951885
ARW4,arw4,4738,17,3.6631830468045843
ARW4,arw4,4738,18,6.732319994512027
ARW4,arw4,4738,19,4.618430297292369
ARW4,arw4,4738,20,1.7542004924817294
ARW4,arw4,6837,0,5.43552489356146
ARW4,arw4,6837,1,8.077034023314207
ARW4,arw4,6837,2,8.414993964597038
ARW4,arw4,6837,3,6.8588180314362095
ARW4,arw4,6837,4,5.637040029684571
ARW4,arw4,6837,5,15.881455643294974
ARW4,arw4,6837,6,11.78162437780567
ARW4,arw4,6837,7,5.569755198623099
ARW4,arw4,6837,8,2.16897204109024
ARW4,arw4,6837,9,2.354853828678306
ARW4,arw4,6837,10,8.3140170811888
ARW4,arw4,6837,11,1.4367519202652668
ARW4,arw4,6837,12,2.4118131987426166
ARW4,arw4,6837,13,1.5492355865581162
ARW4,arw4,6837,14,8.100344900275163
ARW4,arw4,6837,15,1.53412695422527
ARW4,arw4,6837,16,2.931062178654524
ARW4,arw4,6837,17,1.849911461612304
ARW4,arw4,6837,18,2.078113441743847
ARW4,arw4,6837,19,5.0108674094910475
ARW4,arw4,6837,20,4.177755572797863
ARW4,arw4,3561,0,2.155008909281079
ARW4,arw4,3561,1,5.047911811926551
ARW4,arw4,3561,2,16.190740617449322
ARW4,arw4,3561,3,7.871123606247658
ARW4,arw4,3561,4,7.8034238721441245
ARW4,arw4,3561,5,2.7253396812499955
ARW4,arw4,3561,6,6.996012462273852
ARW4,arw4,3561,7,3.1627471834221548
ARW4,arw4,3561,8,2.912844898338755
ARW4,arw4,3561,9,3.4571339106746892
ARW4,arw4,3561,10,3.3091541991576228
ARW4,arw4,3561,11,4.202531784560243
ARW4,arw4,3561,12,4.320978682970688
ARW4,arw4,3561,13,12.86838825779227
ARW4,arw4,3561,14,9.766994292959922
ARW4,arw4,3561,15,6.815447392337704
ARW4,arw4,3561,16,3.8272054227506134
ARW4,arw4,3561,17,3.279245949510723
ARW4,arw4,3561,18,2.6843458635342357
ARW4,arw4,3561,19,1.8662108730452824
ARW4,arw4,3561,20,0.04567188650670806
ARW4,arw4,3642,0,0.41349394121058025
ARW4,arw4,3642,1,8.814749087504502
ARW4,arw4,3642,2,8.651450309127892
ARW4,arw4,3642,3,5.870594237713451
ARW4,arw4,3642,4,1.836330061046723
ARW4,arw4,3642,5,12.370218842105515
ARW4,arw4,3642,6,11.938117925357618
ARW4,arw4,3642,7,8.094785666977844
ARW4,arw4,3642,8,10.306489804610806
ARW4,arw4,3642,9,6.873943091108846
ARW4,arw4,3642,10,4.09463505604525
ARW4,arw4,3642,11,3.0592984879697505
ARW4,arw4,3642,12,5.946894455026357
ARW4,arw4,3642,13,9.593751365707059
ARW4,arw4,3642,14,4.253733954175264
ARW4,arw4,3642,15,6.435906894385453
ARW4,arw4,3642,16,6.538585416564964
ARW4,arw4,3642,17,4.006598442329044
ARW4,arw4,3642,18,19.320309101515335
ARW4,arw4,3642,19,13.887772067040506
ARW4,arw4,3642,20,7.894731818942503
ARW4,arw4,2498,0,3.85083761955907
ARW4,arw4,2498,1,17.279913827632193
ARW4,arw4,2498,2,22.135911135447238
ARW4,arw4,2498,3,12.54926980333872
ARW4,arw4,2498,4,4.007880868588828
ARW4,arw4,2498,5,7.613814920787188
ARW4,arw4,2498,6,3.2588421042715403
ARW4,arw4,2498,7,3.428617809252825
ARW4,arw4,2498,8,5.114944053367784
ARW4,arw4,2498,9,5.982532433350718
ARW4,arw4,2498,10,5.766806071728967
ARW4,arw4,2498,11,7.251613402281536
ARW4,arw4,2498,12,6.52161434115465
ARW4,arw4,2498,13,4.818377581051443
ARW4,arw4,2498,14,3.983828818236095
ARW4,arw4,2498,15,5.928013416018517
ARW4,arw4,2498,16,6.687167890463495
ARW4,arw4,2498,17,1.4297284580359562
ARW4,arw4,2498,18,0.0044531175544111345
ARW4,arw4,2498,19,1.721342406263542
ARW4,arw4,2498,20,1.999734102088467
ARW4,arw4,7290,0,1.5955347644605264
ARW4,arw4,7290,1,0.029874820434873328
ARW4,arw4,7290,2,1.44229431633282
ARW4,arw4,7290,3,1.4890968234288096
ARW4,arw4,7290,4,11.162516271148794
ARW4,arw4,7290,5,4.123284403673703
ARW4,arw4,7290,6,1.1544308610245766
ARW4,arw4,7290,7,1.155643875274131
ARW4,arw4,7290,8,4.382786600748188
ARW4,arw4,7290,9,7.342398352661515
ARW4,arw4,7290,10,1.006870790541825
ARW4,arw4,7290,11,0.2198013127289118
ARW4,arw4,7290,12,1.2096880745528624
ARW4,arw4,7290,13,1.472970140071837
ARW4,arw4,7290,14,1.2869591396673667
ARW4,arw4,7290,15,5.7546520346138665
ARW4,arw4,7290,16,5.246423629245523
ARW4,arw4,7290,17,1.3460339291909356
ARW4,arw4,7290,18,0.2364425958264964
ARW4,arw4,7290,19,21.048481101159233
ARW4,arw4,7290,20,15.391871567446572
ARW4,arw4,9665,0,1.9784418149630016
ARW4,arw4,9665,1,2.604261149102387
ARW4,arw4,9665,2,2.170989714995873
ARW4,arw4,9665,3,2.096703626218904
ARW4,arw4,9665,4,1.7167604889992063
ARW4,arw4,9665,5,1.2022755028896135
ARW4,arw4,9665,6,4.027189780419718
ARW4,arw4,9665,7,13.266392362655171
