q_bin,dropout_count,dropout_probability,n,q_mean,low,high,model,stage
8,42,0.02064896755162242,2034,14.595213116289328,0.015312510621645006,0.02779270422920503,SE-Hurdle-T5,5-7
9,36,0.013958898797983715,2579,24.205595642903997,0.010099825437594,0.019263802591318033,SE-Hurdle-T5,5-7
0,167,0.25771604938271603,648,1.5617904540608225,0.22553667592422938,0.2927512026033147,Empirical,8-20
1,142,0.24912280701754386,570,2.2673973433356145,0.21537486745911488,0.286229756534684,Empirical,8-20
2,90,0.1559792027729636,577,3.3535602416470636,0.12865909189277705,0.18784991848113555,Empirical,8-20
3,80,0.13377926421404682,598,4.373465972681332,0.10881943726092913,0.16341431992700867,Empirical,8-20
4,50,0.08103727714748785,617,5.604808397378332,0.06200743941383746,0.10525197103803949,Empirical,8-20
5,31,0.05299145299145299,585,7.034201083773929,0.03758014051592032,0.0742353290432956,Empirical,8-20
6,16,0.026143790849673203,612,8.70730611898493,0.01615527754891151,0.04204410359065425,Empirical,8-20
7,4,0.00676818950930626,591,10.940979673526686,0.002635029988787705,0.01727211840164094,Empirical,8-20
8,4,0.006802721088435374,588,14.385267889370075,0.002648489729731701,0.01735956647990277,Empirical,8-20
9,1,0.0016750418760469012,597,24.47615869199577,0.00029573963339936827,0.009426623132427765,Empirical,8-20
0,1275,0.09337239106554375,13655,1.5617904540608225,0.08860594432991535,0.09836756885585875,Hurdle-AR(5)-S,8-20
1,1390,0.09685736185631663,14351,2.2673973433356145,0.09212565154467384,0.10180484783471325,Hurdle-AR(5)-S,8-20
2,1413,0.0996755079006772,14176,3.3535602416470636,0.09485200793540204,0.10471591953707411,Hurdle-AR(5)-S,8-20
3,1155,0.0926074406670943,12472,4.373465972681332,0.08764457445046932,0.09782119805501042,Hurdle-AR(5)-S,8-20
4,975,0.09382217090069284,10392,5.604808397378332,0.08836512733359451,0.09957940618065218,Hurdle-AR(5)-S,8-20
5,914,0.09393627954779034,9730,7.034201083773929,0.08829856865164527,0.0998945081701514,Hurdle-AR(5)-S,8-20
6,817,0.10126425384234011,8068,8.70730611898493,0.09486995450022273,0.10803809067251705,Hurdle-AR(5)-S,8-20
7,624,0.0929816718819848,6711,10.940979673526686,0.08626446572102542,0.1001645931565511,Hurdle-AR(5)-S,8-20
8,613,0.09852137576342013,6222,14.385267889370075,0.0913620930337841,0.10617611609765283,Hurdle-AR(5)-S,8-20
9,575,0.0999131190269331,5755,24.47615869199577,0.09243004494740914,0.10792997190042361,Hurdle-AR(5)-S,8-20
0,2648,0.3801320700545507,6966,1.5617904540608225,0.3688017101267096,0.39159456631090706,SE-Hurdle-S,8-20
1,2491,0.22590006348054775,11027,2.2673973433356145,0.21819109620208962,0.23379994680228097,SE-Hurdle-S,8-20
2,1694,0.13924050632911392,12166,3.3535602416470636,0.13320245069487524,0.1455063206666189,SE-Hurdle-S,8-20
3,1142,0.09651791751183232,11832,4.373465972681332,0.09132716000363733,0.10197059416705045,SE-Hurdle-S,8-20
4,762,0.0704056176660815,10823,5.604808397378332,0.06573665191378496,0.07537944236804144,SE-Hurdle-S,8-20
5,483,0.044462855564761115,10863,7.034201083773929,0.04074505852644303,0.04850273174225843,SE-Hurdle-S,8-20
6,290,0.029525554876807168,9822,8.70730611898493,0.026357394694755665,0.03306159695680933,SE-Hurdle-S,8-20
7,181,0.020833333333333332,8688,10.940979673526686,0.018034983252539077,0.024055245359082184,SE-Hurdle-S,8-20
8,108,0.011697173183147407,9233,14.385267889370075,0.009698170605562616,0.014102345796061073,SE-Hurdle-S,8-20
9,55,0.005703619205641398,9643,24.47615869199577,0.004384838618053622,0.00741608076264814,SE-Hurdle-S,8-20
0,2612,0.37517954610744036,6962,1.5617904540608225,0.36387801788714536,0.38661874907924676,SE-Hurdle-T5,8-20
1,2485,0.22513136437760464,11038,2.2673973433356145,0.21743587148308713,0.23301811800359423,SE-Hurdle-T5,8-20
2,1770,0.14380890477738056,12308,3.3535602416470636,0.1377207458719833,0.15011934459831644,SE-Hurdle-T5,8-20
3,1132,0.09654584221748401,11725,4.373465972681332,0.09133134610215314,0.10202462862599053,SE-Hurdle-T5,8-20
4,719,0.06629783310281236,10845,5.604808397378332,0.06176703192996818,0.07113578416424043,SE-Hurdle-T5,8-20
5,513,0.04693074741560699,10931,7.034201083773929,0.04312265898019866,0.05105717806472022,SE-Hurdle-T5,8-20
6,289,0.029277682099078106,9871,8.70730611898493,0.026130651518926025,0.032790961968018416,SE-Hurdle-T5,8-20
7,202,0.023412146499768197,8628,10.940979673526686,0.02042728190299041,0.026821221823027916,SE-Hurdle-T5,8-20
8,119,0.013273842721695482,8965,14.385267889370075,0.011104602671525464,0.01586003900527703,SE-Hurdle-T5,8-20
9,41,0.004249585406301824,9648,24.47615869199577,0.003134212722527999,0.005759592579871491,SE-Hurdle-T5,8-20
