model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap
bootstrap,8-20,activity,7092,-1.2069289730987227,0.9622731821595303,-0.5800133972685716,1.6598802811099849,,,,12
bootstrap,8-20,positive,6043,0.08075227462975199,0.41702748338807843,,0.4768480562386637,0.4655166921959291,0.5911330120454443,0.4695792082664062,12
bootstrap,0,activity,591,0.1970639566441108,1.4715895740623752,-1.2566009491645636,0.0,,,,13
bootstrap,0,positive,423,0.8161355260445742,0.5666036333513886,,0.0,0.7894912749939669,0.5690612427290906,0.4803385875930244,13
bootstrap,1-4,activity,2364,-0.493873209479492,0.9514590748041523,-0.3400656209535436,0.8968030367647334,,,,13
bootstrap,1-4,positive,1914,0.8545317206352865,0.3771517920484036,,0.22277895409881018,0.5548816638570648,0.6045288607189296,0.4947011126180538,13
bootstrap,5-7,activity,1773,-0.7168826861068438,1.0816336167343592,-1.054043604165981,1.3073531412453268,,,,13
bootstrap,5-7,positive,1511,0.26450175388545716,0.4066716298141719,,0.40406197015839435,0.7158327337994198,0.582204860529612,0.4735855089269369,13
bootstrap,8-20,activity,7092,-1.242033780623549,0.8779862616096588,-0.47794045223359766,1.685073801149411,,,,13
bootstrap,8-20,positive,6028,0.0335247168564301,0.4379676941509313,,0.474150988477135,0.5127759039104519,0.5839193424263465,0.4604048311887379,13
bootstrap,0,activity,591,0.24685971906162707,1.2537066456272814,-0.6709171314988213,0.0,,,,14
bootstrap,0,positive,441,0.8160457580358667,0.540543074900061,,0.0,0.7903504329513489,0.5764039135313344,0.4896807750048197,14
bootstrap,1-4,activity,2364,-0.5432164293289259,0.7905730847466649,-0.12203572671392247,0.9087027139722402,,,,14
bootstrap,1-4,positive,1891,0.8247552543552357,0.363797328576993,,0.252472825291321,0.49470567301064716,0.6134260797579005,0.5016290421042654,14
bootstrap,5-7,activity,1773,-0.4766015539416708,1.0131612989162644,-1.027870197795491,1.276969188615781,,,,14
bootstrap,5-7,positive,1525,0.24008438166643464,0.4626944682195052,,0.3585793496353775,0.7856123997277827,0.5774025481934424,0.46797036403431125,14
bootstrap,8-20,activity,7092,-1.1969912620598409,1.046495918875536,-0.6011953466847101,1.5449437905933545,,,,14
bootstrap,8-20,positive,5984,0.03973034932436581,0.43946424516225596,,0.472198922704064,0.5037963025157013,0.5932088779813451,0.4688415355800039,14
bootstrap,0,activity,591,0.3194289837653952,0.20006776990496733,1.1868667228197283,0.0,,,,15
bootstrap,0,positive,449,0.8218027500007277,0.5445280200505996,,0.0,0.7818721875672532,0.5810226913798419,0.49794435003878135,15
bootstrap,1-4,activity,2364,-0.25121533137792196,1.052940350891985,-0.7984800009487946,0.8292683344954338,,,,15
bootstrap,1-4,positive,1949,0.8611507484374361,0.3746358927618485,,0.22663671191320534,0.5757044283534396,0.6041763890999997,0.49478346899517617,15
bootstrap,5-7,activity,1773,-0.7803076878376187,0.9848167540485313,-1.015728915355482,1.4515229749261038,,,,15
bootstrap,5-7,positive,1540,0.4057608865489696,0.36053702947335375,,0.3909425875242901,0.572542209297627,0.6062700181213847,0.4898389737414271,15
bootstrap,8-20,activity,7092,-1.1771853718720158,1.0030603287575555,-0.47677423540160385,1.4522873282323738,,,,15
bootstrap,8-20,positive,6072,0.045061403067641725,0.4333019574849462,,0.4886297974458784,0.5630349006978675,0.5887598016617301,0.4660307894653897,15
bootstrap,0,activity,591,0.3465227195476088,1.0058750256773623,-0.2085705022786277,0.0,,,,16
bootstrap,0,positive,447,1.077469784911007,0.37720096000122755,,0.0,0.5143769167657298,0.589510684220741,0.5009238700505426,16
bootstrap,1-4,activity,2364,-0.37250160716506286,0.7873563078386228,0.0008203491232237982,0.7226906981151415,,,,16
bootstrap,1-4,positive,1917,0.7925382794348717,0.3945644908807917,,0.22896430585543315,0.6080500904946626,0.6220258308062697,0.5102800654253834,16
bootstrap,5-7,activity,1773,-0.7107608561372398,1.2206160621099151,-1.2582630742807055,1.2585795218871751,,,,16
bootstrap,5-7,positive,1512,0.4222968981689089,0.38202093531862164,,0.34831943900540163,0.6260880683513956,0.5922425967760568,0.48512010119326016,16
bootstrap,8-20,activity,7092,-1.116302991450116,1.055547639359756,-0.574218126562196,1.4496335135262308,,,,16
bootstrap,8-20,positive,6004,0.06329768494646326,0.43861876067610744,,0.4609908577920485,0.564186714542684,0.5943478739616574,0.4714769758800393,16
bootstrap,0,activity,591,0.4201707636622406,0.6018799819582575,0.025886043012485944,0.0,,,,17
bootstrap,0,positive,437,0.7968570657522891,0.5847408934286581,,0.0,0.7798709669363546,0.54643754375338,0.45898495007673895,17
bootstrap,1-4,activity,2364,-0.5395799069126461,0.7555570685905761,-0.07400736389919378,0.9749112158300509,,,,17
