year,origin_state,destination_state,direct_probability,composed_probability,residual
12,positive 3,positive 2,0.19642857142857142,0.2093826092924551,-0.012954037863883688
12,positive 3,positive 3,0.36607142857142855,0.24208349956174677,0.12398792900968178
12,positive 3,positive 4,0.19642857142857142,0.24668734594584854,-0.050258774517277116
12,positive 4,zero,0.0,0.032380577359253024,-0.032380577359253024
12,positive 4,positive 1,0.04065040650406504,0.09017894358383774,-0.0495285370797727
12,positive 4,positive 2,0.14634146341463414,0.1438682180069561,0.002473245407678043
12,positive 4,positive 3,0.21138211382113822,0.2849292184669949,-0.0735471046458567
12,positive 4,positive 4,0.6016260162601627,0.4486430425829582,0.15298297367720448
13,zero,zero,0.4326923076923077,0.28073287662456814,0.15195943106773957
13,zero,positive 1,0.2980769230769231,0.3329653913686839,-0.034888468291760844
13,zero,positive 2,0.18269230769230768,0.19656041605025915,-0.013868108357951464
13,zero,positive 3,0.038461538461538464,0.12451236147654747,-0.086050823015009
13,zero,positive 4,0.04807692307692308,0.06522895447994129,-0.017152031403018207
13,positive 1,zero,0.2204724409448819,0.2010587761563982,0.019413664788483692
13,positive 1,positive 1,0.4015748031496063,0.3131890128372444,0.08838579031236193
13,positive 1,positive 2,0.2440944881889764,0.2103400270306541,0.033754461158322285
13,positive 1,positive 3,0.11023622047244094,0.17331884757545774,-0.06308262710301679
13,positive 1,positive 4,0.023622047244094488,0.10209333640024562,-0.07847128915615113
13,positive 2,zero,0.0782608695652174,0.14278991178055223,-0.06452904221533483
13,positive 2,positive 1,0.26956521739130435,0.2736684382712026,-0.004103220879898228
13,positive 2,positive 2,0.25217391304347825,0.21040834727116495,0.0417655657723133
13,positive 2,positive 3,0.34782608695652173,0.21576744521191382,0.1320586417446079
13,positive 2,positive 4,0.05217391304347826,0.15736585746516638,-0.10519194442168811
13,positive 3,zero,0.031746031746031744,0.08679517285486056,-0.05504914110882882
13,positive 3,positive 1,0.16666666666666666,0.19432504243741502,-0.027658375770748367
13,positive 3,positive 2,0.16666666666666666,0.18473429747724998,-0.018067630810583324
13,positive 3,positive 3,0.36507936507936506,0.2615258892912805,0.10355347578808455
13,positive 3,positive 4,0.2698412698412698,0.2726195979391939,-0.0027783280979240543
13,positive 4,zero,0.0,0.03287634138408742,-0.03287634138408742
13,positive 4,positive 1,0.06722689075630252,0.09781318419348098,-0.03058629343717846
13,positive 4,positive 2,0.07563025210084033,0.12076514184506318,-0.04513488974422285
13,positive 4,positive 3,0.19327731092436976,0.2880143068427268,-0.09473699591835702
13,positive 4,positive 4,0.6638655462184874,0.4605310257346416,0.20333452048384576
14,zero,zero,0.40425531914893614,0.275525434249981,0.12872988489895515
14,zero,positive 1,0.3617021276595745,0.3330519159177287,0.028650211741845788
14,zero,positive 2,0.1276595744680851,0.19723133943387836,-0.06957176496579326
14,zero,positive 3,0.0851063829787234,0.12626365597178843,-0.04115727299306503
14,zero,positive 4,0.02127659574468085,0.06792765442662353,-0.04665105868194268
14,positive 1,zero,0.22794117647058823,0.20644575896174883,0.021495417508839404
14,positive 1,positive 1,0.34558823529411764,0.3109683439961435,0.03461989129797416
14,positive 1,positive 2,0.25,0.22662224108915968,0.02337775891084032
14,positive 1,positive 3,0.13970588235294118,0.1690304497664685,-0.02932456741352732
