q_bin,dropout_count,dropout_probability,n,q_mean,low,high,model,stage
6,1,0.0012406947890818859,806,9.371178815775814,0.00021904104391544691,0.006994221401481282,GRW-Y,5-7
7,0,0.0,930,11.242247075594246,0.0,0.004113759763968536,GRW-Y,5-7
8,1,0.0008841732979664014,1131,14.595213116289328,0.00015609133666042623,0.004991411187039796,GRW-Y,5-7
9,0,0.0,10135,24.205595642903997,2.710505431213761e-20,0.0003788993014744406,GRW-Y,5-7
0,292,0.10649161196207148,2742,1.9967827462382113,0.09549116458510305,0.1185931438469638,Hurdle-AR(1)-S,5-7
1,286,0.10081071554458935,2837,2.6677592895199953,0.0902657498002932,0.11243530892821879,Hurdle-AR(1)-S,5-7
2,268,0.09671598700830025,2771,3.956574753864151,0.08626253721029159,0.10828608134869211,Hurdle-AR(1)-S,5-7
3,271,0.10269041303524062,2639,5.071887945687309,0.09168025241875893,0.11485562169492233,Hurdle-AR(1)-S,5-7
4,281,0.10660091047040972,2636,6.17130603859902,0.09538694379224524,0.11895985640970627,Hurdle-AR(1)-S,5-7
5,278,0.10538286580742987,2638,7.7000910141924885,0.0942340046822103,0.1176793817978875,Hurdle-AR(1)-S,5-7
6,214,0.10239234449760766,2090,9.371178815775814,0.09011579150247274,0.11612788996798808,Hurdle-AR(1)-S,5-7
7,197,0.09036697247706423,2180,11.242247075594246,0.07904103221303165,0.1031340852497001,Hurdle-AR(1)-S,5-7
8,226,0.1164348274085523,1941,14.595213116289328,0.10291710945819135,0.13146783993820169,Hurdle-AR(1)-S,5-7
9,264,0.10038022813688213,2630,24.205595642903997,0.08947166167125607,0.11245452857496073,Hurdle-AR(1)-S,5-7
0,879,0.2781645569620253,3160,1.9967827462382113,0.2628174280817257,0.2940503999410172,Hurdle-AR(1)-S-P,5-7
1,439,0.1384858044164038,3170,2.6677592895199953,0.12689838097839565,0.15094837734753971,Hurdle-AR(1)-S-P,5-7
2,307,0.0983974358974359,3120,3.956574753864151,0.08843458206543858,0.1093480455812385,Hurdle-AR(1)-S-P,5-7
3,228,0.07676767676767676,2970,5.071887945687309,0.06773034423783067,0.08689846988596128,Hurdle-AR(1)-S-P,5-7
4,147,0.05364963503649635,2740,6.17130603859902,0.045820300625012376,0.0627288226188367,Hurdle-AR(1)-S-P,5-7
5,107,0.038698010849909585,2765,7.7000910141924885,0.032125339369358887,0.04655073946447546,Hurdle-AR(1)-S-P,5-7
6,65,0.03209876543209877,2025,9.371178815775814,0.025263798330308406,0.04070566917272387,Hurdle-AR(1)-S-P,5-7
7,64,0.028144239226033423,2274,11.242247075594246,0.022101687134677354,0.0357783691431604,Hurdle-AR(1)-S-P,5-7
8,27,0.013817809621289662,1954,14.595213116289328,0.009513623643659881,0.020029930850227674,Hurdle-AR(1)-S-P,5-7
9,21,0.00798175598631699,2631,24.205595642903997,0.0052264935976329115,0.012171743928296543,Hurdle-AR(1)-S-P,5-7
0,618,0.3654642223536369,1691,1.9967827462382113,0.34284041484926375,0.3886979188805668,SE-Hurdle-S,5-7
