rep,model,annual_ks_mean,cum_total_ks,cum_y5_ks,zero_years_ks,terminal_rank_abs_error,rank_curve_rmse,dropout_rmse,restart_rmse,increment_ks,gini_abs_error,top1_abs_error
17,Hurdle-AR(5)-S-P,0.09958907420836355,0.07445008460236886,0.049069373942470386,0.1895093062605753,0.17402088878777455,0.1995818452034036,0.03086920708503959,0.059695091602958335,0.06421319796954317,0.03545266035418987,0.0019047715856713929
18,SE-Hurdle-S,0.06864877930867778,0.07952622673434856,0.038917089678511,0.0676818950930626,0.04280132241698362,0.04595828631154197,0.022008903334146356,0.05231556603073687,0.05693739424703892,0.02319215827070048,0.008802513538774301
18,SE-Hurdle-T5,0.0626863266457175,0.06091370558375635,0.05922165820642978,0.032148900169204735,0.11690367562796497,0.07379891032890518,0.01604419551086435,0.05258798462047827,0.05972927241962778,0.018810217533397067,0.002295759544642076
18,Hurdle-AR(5)-S-P,0.08903392152123117,0.06429780033840947,0.04060913705583756,0.1658206429780034,0.1415670463873498,0.2035783761533341,0.03017177358566643,0.056786408827008,0.05693739424703892,0.04627960283514654,0.004251590038079192
19,SE-Hurdle-S,0.06977681089356216,0.08629441624365482,0.0338409475465313,0.043993231810490696,0.009479855916813856,0.04492358712766689,0.017759029701997556,0.04968410421954725,0.05219966159052458,0.01594714804070929,0.002952426179878752
19,SE-Hurdle-T5,0.06268632664571751,0.06598984771573604,0.06260575296108291,0.030456852791878174,0.05122955852629066,0.0721410323317726,0.017750374141581277,0.0721748753031103,0.06108291032148899,0.02109455488740858,0.005405506960992124
19,Hurdle-AR(5)-S-P,0.0830714688582709,0.06091370558375635,0.038917089678511,0.15905245346869712,0.14071406937636366,0.2180383268868575,0.022772277684914816,0.06581227295470346,0.05676818950930629,0.038370341722456014,7.315190150596063e-05
20,SE-Hurdle-S,0.06880992667794698,0.043993231810490696,0.05752961082910321,0.047377326565143825,0.02883767425006792,0.03535743739787549,0.02035132943588936,0.05199048276132462,0.055160744500846015,0.020128173198336985,0.006076310144197038
20,SE-Hurdle-T5,0.06099427926839095,0.09813874788494077,0.05583756345177665,0.021996615905245348,0.0031800362513086655,0.05811876308699707,0.022543889850750343,0.060610472876433584,0.0538071065989848,0.002255993055290839,0.002708439397350597
20,Hurdle-AR(5)-S-P,0.11151397953428412,0.09644670050761421,0.07445008460236886,0.20304568527918782,0.10042355933633414,0.1716903284618107,0.035793798094512094,0.055353575779271254,0.05947546531302872,0.04529442053552968,0.0016043097810558293
21,SE-Hurdle-S,0.06961566352429294,0.06598984771573604,0.047377326565143825,0.02707275803722504,0.010892183989372445,0.05057461031856416,0.02434537258409235,0.06941461741745618,0.05431472081218269,0.03435769895417673,0.010279089924888365
21,SE-Hurdle-T5,0.06171944243010233,0.06260575296108291,0.030456852791878174,0.032148900169204735,0.0661995470764434,0.07033350873035853,0.023493029805238996,0.05407070100416338,0.055160744500846015,0.017180544105454332,0.0013616304991053776
21,Hurdle-AR(5)-S-P,0.09934735315445975,0.07106598984771574,0.0676818950930626,0.20812182741116753,0.15527684667366096,0.1922148494729618,0.030144502640521972,0.055447387705543166,0.06218274111675126,0.03827846197003881,0.0014563474464287726
22,SE-Hurdle-S,0.06526468455402466,0.05922165820642978,0.05414551607445008,0.03722504230118443,0.0016400806220596142,0.038862505928334526,0.018035605886322643,0.053616995902001904,0.05803722504230113,0.020584742451687676,0.008953477223242814
