model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap,rho,max_lag
SE-Hurdle-T5,0,positive,432,0.762839495703813,0.5690423271205154,,0.0,0.8374488828614137,0.5841480956598161,0.4956840060615387,7,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.502849831505614,0.8213551204096154,0.020531764980461203,0.7776477284242109,,,,7,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1910,0.8390242001753352,0.34469773753663335,,0.26027480802630637,0.5696716972704329,0.6254072216459647,0.5152999971415683,7,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.8283286542806374,1.0366860861200076,-0.6814798676133138,1.0959933582155004,,,,7,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1476,0.381900427743995,0.35301267960951427,,0.3985677901483646,0.5860097847739221,0.6021895009434302,0.48738393796778917,7,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-0.9954873855315001,1.025257549977112,-0.6394501754166199,1.4756703200435297,,,,7,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,6008,0.06920761402562181,0.46115846432261726,,0.44271207437804505,0.5273936556059419,0.5829292249228621,0.4613710826052115,7,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.18392125562613515,1.0024137350298299,-0.35702602947821815,0.0,,,,8,0.6696666666666666,
SE-Hurdle-S,0,positive,426,0.890276023768293,0.49854586088992087,,0.0,0.7523402001488043,0.5921000679523135,0.5045604623588805,8,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.4995986870495268,0.7663033115991891,-0.04258764909391114,0.851257389523843,,,,8,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1884,0.8081915599059513,0.3945931584714543,,0.23307595498331318,0.49886984758705055,0.5991500964319988,0.489425418642525,8,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.5736377651724933,1.1673497099852455,-1.290007675037455,1.1582173752596454,,,,8,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1476,0.3501659119968513,0.36477829174410686,,0.40745317607264275,0.6187035134219412,0.5912876244920491,0.48412267044225565,8,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.099900650299442,0.9554254253540141,-0.6179145016189839,1.541967401602776,,,,8,0.6696666666666666,
SE-Hurdle-S,8-20,positive,5926,0.0686366923121281,0.4270892021075792,,0.46734697937460057,0.5007305045249734,0.5846943476101387,0.4634930050495693,8,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.18392125562613515,1.0024137350298299,-0.35702602947821815,0.0,,,,8,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,426,0.890276023768293,0.49854586088992087,,0.0,0.7523402001488043,0.5921000679523135,0.5045604623588805,8,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.49948743070134793,0.7661077520304337,-0.04254401336770184,0.8500487494595375,,,,8,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1884,0.8082143629907979,0.39463503287510243,,0.23257175867307384,0.49909695805470683,0.5991728898479849,0.48948647921058647,8,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.5540352617421545,1.1771372918153644,-1.2988599494576762,1.1230217359943422,,,,8,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1476,0.35099210510059453,0.3686717810683806,,0.3970535548151161,0.6240694774297314,0.5917667701733819,0.48459184215174916,8,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-0.9799732592811286,0.993826134503646,-0.632452929490278,1.4280004064092986,,,,8,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,5926,0.09827460588860548,0.4339569822203239,,0.4423783770107326,0.5042326825310564,0.5858893884798053,0.4644840205435509,8,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.34294471570974694,1.2896866436555863,-0.8847285523661517,0.0,,,,9,0.6696666666666666,
SE-Hurdle-S,0,positive,447,0.8104286982196641,0.5459008314929279,,0.0,0.7455995936973836,0.5696410520406383,0.48271690168454784,9,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.5020323530272706,0.6976025156981115,0.15435063700108734,0.8653283559811591,,,,9,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1943,0.836596096518164,0.3668140561585828,,0.22815498316877858,0.5709661827680095,0.5992772768484033,0.48894564452659156,9,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.618845117414015,1.3625466561240536,-1.1094475501672494,1.0740965089277767,,,,9,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1527,0.3336399164499174,0.3964019124144711,,0.3619306130863243,0.6495816176545494,0.5990271143509772,0.4916721438777417,9,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.0477823770428534,1.1926906256201968,-0.8606362793430554,1.434638162566201,,,,9,0.6696666666666666,
